id	domain	intent	src_utt	translated-tgt_utt
4716	Console	ConsoleEdit	browse for me the content of ubuntu_corpus	przeglądaj mi zawartość ubuntu_corpus
4717	Console	ConsoleEdit	browse for me the content of file 1612_06897_pdf	przeglądaj mi zawartość w pliku 1612_06897_pdf
4718	Console	ConsoleEdit	browse for me the content of files unimobile_zipS	przeglądaj mi zawartość w plików unimobile_zipS
4719	Console	ConsoleEdit	browse for me the content of w HLT02_psS	przeglądaj mi zawartość w HLT02_psS
4720	Console	ConsoleEdit	browse for me the content of w files Signal_website_release_4_18_3_apkS	przeglądaj mi zawartość w plików Signal_website_release_4_18_3_apkS
4721	Console	ConsoleEdit	browse for me the content of z file cross_enthropy_eq_png	przeglądaj mi zawartość z plików cross_enthropy_eq_png
4722	Console	ConsoleEdit	browse for me the content of z conv_actions_tflite_zipS	przeglądaj mi zawartość w z conv_actions_tflite_zipS
4723	Console	ConsoleEdit	browse for me data in bags	przeglądanie danych w kieszeni
4724	Console	ConsoleEdit	browse for me data in file W19_5401_pdf	przeglądanie mi danych w plików w19_5401_pdf
4725	Console	ConsoleEdit	browse for me data in files PHD_LiteratureReview_120120_2123_pdfS	przeglądanie mi danych w plików PHD_LiteratureReview_120120_2123_pdfS
4726	Console	ConsoleEdit	browse for me data in w rasa_project_1	przeglądanie mi danych w rasa_project_1
4727	Console	ConsoleEdit	browse for me data in w file electronics_09_01562_pdf	przeglądanie mi danych w w plików elektronics_09_01562_pdf
4728	Console	ConsoleEdit	browse for me data in w 89wierszy_epubS	przeglądanie mi danych w w w 89wierszy_epubS
4729	Console	ConsoleEdit	browse for me data in w files podstawyR_pdfS	przeglądanie mi danych w plików podstawyR_pdfS
4730	Console	ConsoleEdit	browse for me data in z ubuntu	przeglądanie danych w z ubuntu
4731	Console	ConsoleEdit	browse for me data in z file utt02_txt	przeglądanie mi danych w plików utt02_txt
4732	Console	ConsoleEdit	browse for me data in z Interviewing_@_Google_Zurich_pdfS	przeglądanie mi danych w z Interviewing_@_Google_Zurich_pdfS
4733	Console	ConsoleEdit	browse for me data in z files CHAOSManifesto2013_pdfS	przeglądanie mi danych w plików CHAOSManifesto2013_pdfS
4734	Console	ConsoleEdit	modify data in file project_tasks_csv	modyfikuj dane w plików project_tasks_csv
4735	Console	ConsoleEdit	modify data in Philosophers_On_GPT_3_Daily_Nous_pdfS	modyfikuj dane w filosoferów_On_GPT_3_Daily_Nous_pdfS
4736	Console	ConsoleEdit	modify data in files one_word_searchterm_txtS	modyfikuj dane w plików one_word_searchterm_txtS
4737	Console	ConsoleEdit	modify for me the content of file PHD_ContrastiveLearning_200620_1202_pdf	modyfikuj mi zawartość w pliku PHD_ContrastiveLearning_200620_1202_pdf
4738	Console	ConsoleEdit	modify for me the content of curriculumS	modyfikuj mi zawartość z curriculumS
4739	Console	ConsoleEdit	modify for me the content of files primavera_payment_pdfS	modyfikuj mi zawartość w plików primavera_payment_pdfS
4740	Console	ConsoleEdit	modify for me data in file Common_gf	modyfikuj mi dane w plików Common_gf
4741	Console	ConsoleEdit	modify for me data in W07_0717_pdfS	modyfikuj mi dane w <a>W07_0717_pdfS<a>
4742	Console	ConsoleEdit	give me the content of files linux_zipS	dawaj mi zawartość plików linux_zipS
4743	Console	ConsoleEdit	give me data from ICASSP13_MultiLingual_pdf	dawaj mi dane z ICASSP13_MultiLingual_pdf
4744	Console	ConsoleEdit	give me data from file utt04_txt	dawaj mi dane z pliku utt04_txt
4745	Console	ConsoleEdit	give me data from bytestring_0_10_10_1_tar_gzS	dawaj mi dane z bytestring_0_10_10_1_tar_gzS
4746	Console	ConsoleEdit	give me data in quality_estimation_0_1_1_20200107_tgz	dawaj mi dane z quality_estimation_0_1_1_20200107_tgz
4747	Console	ConsoleEdit	give me data in file 1902_04187_pdf	dawaj mi dane w pliku 1902_04187_pdf
4748	Console	ConsoleEdit	give me data in template_plan_rozwoju_zawodowego_pdfS	dawaj mi dane z template_plan_rozwoju_zawodowego_pdfS
4749	Console	ConsoleEdit	give me data in files TA_PdfFileTitle_20181221_091923_pdfS	dawaj mi dane w plików TA_PdfFileTitle_20181221_091923_pdfS
4750	Console	ConsoleEdit	references edit it	referencje edytuj
4751	Console	ConsoleEdit	knowledge_7z edit its content	knowledge_7z edytuj zawartość
4752	Console	ConsoleEdit	LinuxProgramming101 edit its data	LinuxProgramming101 edytuj dane
4753	Console	ConsoleEdit	results_i_b_test_en_hi_translations_tsv edit what's inside	edytuj wynik_i_b_test_en_hi_translations_tsv
4754	Console	ConsoleEdit	Nerć_Jakub_LPTC_1_zad2_zip read it	Nerć_Jakub_LPTC_1_zad2_zip czytaj dane
4755	Console	ConsoleEdit	SD3_PW_IPK_formularz_v2_xlsx read its data	<b>SD3_PW_IPK_formularz_v2_xlsx<b> czytaj dane
4756	Console	ConsoleEdit	Discord read what's inside	discord przeczytał to co było wewnątrz
4757	Console	ConsoleEdit	Screenshot_from_2020_10_11_15_17_34_png browse it	<b>screenshot_from_2020_10_11_15_17_34_png przeglądaj to
4758	Console	ConsoleEdit	tantum cunternus ponbrosits content	tantum cunternus ponbrosits zawartość
4759	Console	ConsoleEdit	nmt_enc_dec_0_1_0_png browse its content	nmt_enc_dec_0_1_0_png przeglądaj zawartość
4760	Console	ConsoleEdit	1810_06695_pdf browse its data	1810_06695_pdf przegląd danych
4761	Console	ConsoleEdit	Paweł_Barej_Bartosz_kopeć_lab_1_pdf browse what's inside	paweł_Barej_Bartosz_kopeć_lab_1_pdf przeglądaj to co jest w pliku
4762	Console	ConsoleEdit	astronomy_meta_stackexchange_com_7z modify it	astronomy_meta_stackexchange_com_7z modyfikuj
4763	Console	ConsoleEdit	tatuaporsipuence modify its content	tatuaporsipuence modyfikuj zawartość
4764	Console	ConsoleEdit	tatuaz_4_inspiracje modify its content	tatuaz_4_inspiracje modyfikuj zawartość
4765	Console	ConsoleEdit	MIT9_14S14_lec01_mp3 modify its data	MIT9_14S14_lec01_mp3 modyfikuj dane
4766	Console	ConsoleEdit	solabansti at ne twenty tetini twentypin tant modify what's inside	solabansti at ne dwadzieścia tetini dwadzieściapin tant modyfikuj to co jest w środku
4767	Console	ConsoleEdit	WS_lab1_2020_2021WstepnaAD_pdf modify what's inside	<a>WS_lab1_2020_2021WstepnaAD_pdf modyfikuj to co jest w środku
4768	Console	ConsoleEdit	i want to see what's inside of file 11_mind_vs_brain_ogg	chcę zobaczyć co jest w pliku 11_mind_vs_brain_ogg
4769	Console	ConsoleEdit	i need to see the content of Screenshot_from_2020_10_11_14_32_06_png	chcę zobaczyć zawartość w Screenshot_from_2020_10_11_14_32_06_png
4770	Console	ConsoleEdit	i need to see the content of file d_sieron_exercise_1_tar_gz	chcę zobaczyć zawartość pliku d_sieron_exercise_1_tar_gz
4771	Console	ConsoleEdit	i need to see the content of 000005_wavS	chcę zobaczyć zawartość 000005_wavS
4772	Console	ConsoleEdit	i need to see the content of files 2004_11362_pdfS	chcę zobaczyć zawartość plików 2004_11362_pdfS
4773	Console	ConsoleEdit	i need to see what's inside of 1704_06933_pdf	chcę zobaczyć to co jest w 1704_06933_pdf
4774	Console	ConsoleEdit	i need to see what's inside of utt00_transS	chcę zobaczyć co jest w utt00_transS
4775	Console	ConsoleEdit	i need to see what's inside of files test_shS	chcę zobaczyć to co jest w pliku test_shS
4776	Console	ConsoleEdit	i'd like to see the content of lrec2018eval_pdf	chcę zobaczyć zawartość lrec2018eval_pdf
4777	Console	ConsoleEdit	i'd like to see the content of file task1_en_de_test_tar_gz	chcę zobaczyć zawartość pliku zadanie1_en_de_test_tar_gz
4778	Console	ConsoleEdit	i'd like to see the content of nlu_compressionS	chcę zobaczyć zawartość nlu_compressionS
4779	Console	ConsoleEdit	i'd like to see the content of files flask_messenger_tar_gzS	chcę zobaczyć zawartość plików flask_messenger_tar_gzS
4780	Console	ConsoleEdit	i'd like to see what's inside of file LaTeX_DL_468198_zip	chcę zobaczyć co jest w pliku LaTeX_DL_468198_zip
4781	Console	ConsoleEdit	i'd like to see what's inside of babi_plusS	chciałbym zobaczyć to co jest w babi_plusS
4782	Console	ConsoleEdit	i'd like to see what's inside of files Deklaracja_wyboru_dycypliny_wiodącej_docxS	chcę zobaczyć to co jest w plików Deklaracja_wyboru_dycypliny_wiodącej_docxS
4783	Console	ConsoleEdit	i want to understand what's inside of waw2rome_htmlS	chcę zrozumieć to co jest w waw2rome_htmlS
4784	Console	ConsoleEdit	i want to understand what's inside of files SST_2S	chcę zrozumieć to co jest w plików <a>SST_2S<a>
4785	Console	ConsoleEdit	i need to understand the content of file 2_LTPC_GOLCZYK_TADEUSZ_STACHURKA_ANNA_zip	potrzebuję zrozumieć zawartość pliku 2_LTPC_GOLCZYK_TADEUSZ_STACHURKA_ANNA_zip
4786	Console	ConsoleEdit	i need to understand the content of koreanski_cwiczenia_20200421_pdfS	chcę zrozumieć zawartość koreanski_cwiczenia_20200421_pdfS
4787	Console	ConsoleEdit	i need to understand the content of files neagnas courses	muszę zrozumieć zawartość plików neagnas courses
4788	Console	ConsoleEdit	i need to understand the content of files 9gag_corpusS	potrzebuję zrozumieć zawartość plików 9gag_corpusS
4789	Console	ConsoleEdit	i need to understand what's inside of mva_nmt	muszę zrozumieć to co jest w mva_nmt
4790	Console	ConsoleEdit	i need to understand what's inside of file Alchemia	muszę zrozumieć co jest w pliku z alchemią
4791	Console	ConsoleEdit	i need to understand what's inside of 1603_06270_pdfS	chcę zrozumieć to co jest w 1603_06270_pdfS
4792	Console	ConsoleEdit	i need to understand what's inside of files Literature+Review_docS	potrzebuję zrozumieć to co jest w plików Literature+Review_docS
4793	Console	ConsoleEdit	i'd like to understand the content of WS_lab3_teoria_2020_2021Przedzialy_pdf	chcę zrozumieć zawartość w <a>WS_lab3_teoria_2020_2021Przedzialy_pdf
4794	Console	ConsoleEdit	i'd like to understand the content of file koreanski_podrecznik_20200421_pdf_pdf	chcę zrozumieć zawartość pliku koreanski_podrecznik_20200421_pdf_pdf
4795	Console	ConsoleEdit	i'd like to understand the content of exercise_1_pdfS	chcę zrozumieć zawartość ćwiczeń_1_pdfS
4796	Console	ConsoleEdit	i'd like to understand what's inside of gallery3_jpg	chcę zrozumieć to co jest w galerii3_jpg
4797	Console	ConsoleEdit	i'd like to understand what's inside of files t1_bibS	chcę zrozumieć to co jest w plików t1_bibS
4798	Console	ConsoleEdit	i want to sneak a peek into file gallery4_jpg	chcę zniszczyć plik w galerii4_jpg
4799	Console	ConsoleEdit	i want to sneak a peek into atisS	chcę zamknąć świnię na atisS
4800	Console	ConsoleEdit	i want to sneak a peek into files solaris_pngS	chcę zamknąć pieczarkę w pliki solaris_pngS
4801	Console	ConsoleEdit	i need to peek into extra_long_factorials_pdf	potrzebuję wczytać się do extra_long_factorials_pdf
4802	Console	ConsoleEdit	i need to peek into pit_2017_7zS	chcę się wciągnąć do pit_2017_7zS
4803	Console	ConsoleEdit	i need to peek into files 1804_09849_pdfS	potrzebuję poprawić pliki w 1804_09849_pdfS
4804	Console	ConsoleEdit	i need to sneak a peek into samsungTranslation_master	muszę włożyć śmieci w samsungTranslation_master
4805	Console	ConsoleEdit	i need to sneak a peek into file conv_actions_labels_txt	muszę zamknąć plików conv_actions_labels_txt
4806	Console	ConsoleEdit	i need to sneak a peek into AdjectiveMorphoPol_gfS	potrzebuję zamknąć pieczarkę na adjectiveMorphoPol_gfS
4807	Console	ConsoleEdit	i'd like to peek into zamowienie_konikS	chciałbym wciągnąć się do zamowienie_konikS
4808	Console	ConsoleEdit	i'd like to peek into files encryption_pyS	chciałbym poplamić pliki encryption_pyS
4809	Console	ConsoleEdit	i'd like to sneak a peek into zad2_rar	chciałbym włożyć śnieg do zad2_rar
4810	Console	ConsoleEdit	i'd like to sneak a peek into file en_to_translate_es_txt	chcę włożyć śmieci do pliku en_to_translate_es_txt
4811	Console	ConsoleEdit	i'd like to sneak a peek into files olaS	chciałbym zamknąć śmieci w pliki olaS
4812	Console	ConsoleEdit	tell me what's inside of input_simple_txtS	powiedz mi co jest w input_simple_txtS
4813	Console	ConsoleEdit	tell me what's inside of files Seouldae_A1_podr_pdfS	powiedz mi co jest w plików Seouldae_A1_podr_pdfS
4814	Console	ConsoleEdit	tell me what's inside of the file SweetHome3D_jnlp	powiedz mi co jest w pliku SweetHome3D_jnlp
4815	Console	ConsoleEdit	tell me what's inside of the Alchemy_pptS	powiedz mi co jest w alchemy_pptS
4816	Console	ConsoleEdit	what's the content of 2015_13852_Charts_And_Graphs_pdfS	jaki jest zawartość 2015_13852_Charts_And_Graphs_pdfS
4817	Console	ConsoleEdit	what's the content of the twalkerchestery	jaki jest zawartość w twalkerchestery
4818	Console	ConsoleEdit	what's the content of the file test2	jakie jest zawartość w testie plików2
4819	Console	ConsoleEdit	what's the content of the GBYA_zipS	jaka jest zawartość w GBYA_zipS
4820	Console	ConsoleEdit	prepare content of the files C04_1046_pdfS to edit	przygotuj pliki C04_1046_pdfS do edycji
4821	Console	ConsoleEdit	prepare the content of LPTC1zad2MarekKozluk_odt to edit	przygotuj plik LPTC1zad2MarekKozluk_odt do edycji
4822	Console	ConsoleEdit	prepare the content of files angry_professor_pyS to edit	przygotuj pliki angry_professor_pyS to edit
4823	Console	ConsoleEdit	prepare the content of the K17_1024_pdf to edit	przygotuj mi program <a>K17_1024_pdf to edit
4824	Console	ConsoleEdit	prepare the content of the file romat waff to at it	przygotuj plik romat waff
4825	Console	ConsoleEdit	prepare the content of the file rome2waw_pdf to edit	przygotuj plik rome2waw_pdf do edycji
4826	Console	ConsoleEdit	prepare the content of the 1708_02709_pdfS to edit	przygotuj mi 1708_02709_pdfS do edycji
4827	Console	ConsoleEdit	provide content of file NVIDIA_research_offsite_2020_Manning_pdf to edit	dostarcz pliku NVIDIA_research_offsite_2020_Manning_pdf do edycji
4828	Console	ConsoleEdit	provide content of the NLU_Data_Home_Domain_Annotated_All_csv to edit	dostarcz zawartości programu <a>NLU_Data_Home_Domain_Annotated_All_csv to edit
4829	Console	ConsoleEdit	provide content of the file jumping_on_the_clouds_revisited_py to edit	dostarcz pliku jumping_on_the_clouds_revisited_py to edit
4830	Console	ConsoleEdit	provide content of the es_ES_m_baseline_t_baseline_tsvS to edit	dostarcz zawartość es_ES_m_baseline_t_baseline_tsvS do edycji
4831	Console	ConsoleEdit	provide content of the files SweetHome3D_6_4_2_linux_x86_tgzS to edit	dostarcz plików SweetHome3D_6_4_2_linux_x86_tgzS do edycji
4832	Console	ConsoleEdit	provide the content of a teen tent oventics foutering fit to ed it	dostarcz zawartość pięćdziesiąt dolców dla młodzieży
4833	Console	ConsoleEdit	provide the content of 1810_02614_pdf to edit	dostarcz zawartości 1810_02614_pdf do edycji
4834	Console	ConsoleEdit	provide the content of file leyzer_stats_old_tsv to edit	dostarcz zawartości plików leyzer_stats_old_tsv do edycji
4835	Console	ConsoleEdit	provide the content of corpus_xls_zipS to edit	dostarcz zawartości corpus_xls_zipS do edycji
4836	Console	ConsoleEdit	provide the content of files drive_download_20200421T221104Z_001_zipS to edit	dostarcz zawartość plików drive_download_20200421T221104Z_001_zipS do edycji
4837	Console	ConsoleEdit	provide the content of the leyzer_parallel_sample_0_1_0_20200409_tsv to edit	dostarcz zawartość leyzer_parallel_sample_0_1_0_20200409_tsv to edit
4838	Console	ConsoleEdit	provide the content of the files 1705_07704_pdfS to edit	dostarcz zawartość plików 1705_07704_pdfS do edycji
4839	Console	ConsoleEdit	i want to enter files zero_shot_ipynbS	chcę wpisać pliki zero_shot_ipynbS
4840	Console	ConsoleEdit	i need to enter file speech_commands_apk	potrzebuję wpisać plik speech_commands_apk
4841	Console	ConsoleEdit	i need to enter qeS	potrzebuję wpisać qeS
4842	Console	ConsoleEdit	i need to enter files img_esS	potrzebuję wpisać pliki img_esS
4843	Console	ConsoleEdit	i'd like to enter dev_tgz	chcę wpisać dev_tgz
4844	Console	ConsoleEdit	i'd like to enter file bojar_scratching_pl_png	chcę wpisać plik bojar_scratching_pl_png
4845	Console	ConsoleEdit	i'd like o enter siamester mosted	chciałbym zamówić się w siamester
4846	Console	ConsoleEdit	i'd like to enter siamese_mt_lr_odsS	chcę wpisać siamese_mt_lr_odsS
4847	Console	ConsoleEdit	i'd like to enter files for syro sobs	chcę wpisać pliki dla syro sobs
4848	Console	ConsoleEdit	i'd like to enter files zyciorys_docS	chcę wpisać pliki zyciorys_docS
4849	Console	ConsoleEdit	print on screen content of the files task1_en_de_blindtest_tar_gzS	drukuj na zawartość ekranu plików task1_en_de_blindtest_tar_gzS
4850	Console	ConsoleEdit	print on screen the content of 1705_08052_pdfS	drukuj na ekranie zawartość 1705_08052_pdfS
4851	Console	ConsoleEdit	print on screen the content of files third_job_scrapS	drukuj na ekranie zawartość plików third_job_scrapS
4852	Console	ConsoleEdit	print on screen the content of the file ceynowa_mobi	drukuj na ekranie zawartość pliku ceynowa_mobi
4853	Console	ConsoleEdit	print on screen the content of the ipd_ocena_srodokresowaS	drukuj na ekranie zawartość ipd_ocena_srodokresowaS
4854	Console	ConsoleEdit	print on screen the content of the files filozofia_sem3_tar_gzS	drukuj na ekranie zawartość plików filozofia_sem3_tar_gzS
4855	Console	ConsoleEdit	print on my screen content of file redshift_1_12_tar_gz	wydrukować na moim ekranie plik redshift_1_12_tar_gz
4856	Console	ConsoleEdit	print on my screen content of files find_digits_pdfS	drukuj na moim zawartości ekranowej pliki find_digits_pdfS
4857	Console	ConsoleEdit	print on my screen content of the nmt_domain_adaptation_bib	drukuj na moim ekranie nmt_domain_adaptation_bib
4858	Console	ConsoleEdit	print on my screen content of the files ĆW_2_rarS	drukuj na moim zawartości ekranowej plików ĆW_2_rarS
4859	Console	ConsoleEdit	print on my screen the content of Zadanie_2_zip	drukuj na moim ekranie zawartość zadanie_2_zip
4860	Console	ConsoleEdit	print on my screen the content of file art3	wydrukować na moim ekranie zawartość pliku art3
4861	Console	ConsoleEdit	print on my screen the content of pit_2018S	wydrukować na moim ekranie zawartość pit_2018S
4862	Console	ConsoleEdit	print on my screen the content of files 1805_04453_pdfS	drukuj na moim ekranie zawartość plików 1805_04453_pdfS
4863	Console	ConsoleEdit	print on my screen the content of the Załącznik_nr_3_do_US_nr_352_2019_pdf	drukuj na moim ekranie zawartość w Załącznik_nr_3_do_US_nr_352_2019_pdf
4864	Console	ConsoleEdit	print on my screen the content of the file nmt_quality_estimation_bib	drukuj na moim ekranie zawartość pliku nmt_quality_estimation_bib
4865	Console	ConsoleEdit	print on my screen the content of the scholar_risS	wydrukować na moim ekranie zawartość scholar_risS
4866	Console	ConsoleEdit	list on screen the content of rasa_project_2	pokaż zawartość rasa_project_2 na ekranie
4867	Console	ConsoleEdit	list on screen the content of file lm_tok_en_tar_gz	wymień na ekranie zawartość pliku lm_tok_en_tar_gz
4868	Console	ConsoleEdit	list on screen the content of drive_download_20170411T192100Z_001_zipS	wymień na ekranie zawartość drive_download_20170411T192100Z_001_zipS
4869	Console	ConsoleEdit	list on screen the content of files 10_1109@TPAMI_2018_2876404_pdfS	wymień na ekranie zawartość plików 10_1109@TPAMI_2018_2876404_pdfS
4870	Console	ConsoleEdit	list on screen the content of the word_embedding	pokaż zawartość słowa_embedding na ekranie
4871	Console	ConsoleEdit	list on screen the content of the file D_I_1_1_pdf	na ekranie znajduje się zawartość pliku D_I_1_1_pdf
4872	Console	ConsoleEdit	lestan crean the content of the semsuner to spoletst	lestan tworzy zawartość semsunera dla spoletst
4873	Console	ConsoleEdit	list on screen the content of the samsungTranslation_master_tar_gzS	wymień na ekranie zawartość samsungaTranslation_master_tar_gzS
4874	Console	ConsoleEdit	list on my screen content of gasr	wymień zawartość na moim ekranie gazr
4875	Console	ConsoleEdit	list on my screen content of file ParadigmsPnb_gf	lista na moim zawartości ekranowej pliku ParadigmsPnb_gf
4876	Console	ConsoleEdit	list on my screen content of ransom_pyS	wylistuj na moim treści ekranowej ransom_pyS
4877	Console	ConsoleEdit	list on my screen content of files en_corpora_rawS	wymień na mojej zawartości ekranowej pliki en_corpora_rawS
4878	Console	ConsoleEdit	list on my screen content of the green16_png	pokaż zawartość ekranu green16_png
4879	Console	ConsoleEdit	list on my screen content of the file SemEval19_Task_3_EmoContext_results_csv	wylistuj na mojej zawartości ekranowej plików SemEval19_Task_3_EmoContext_results_csv
4880	Console	ConsoleEdit	list on my screen content of the sign_dataS	wylistuj na moim treści ekranowej sign_dataS
4881	Console	ConsoleEdit	list on my screen content of the files TA_PdfFileTitle_20181205_203435_pdfS	lista na moim zawartości ekranowej plików TA_PdfFileTitle_20181205_203435_pdfS
4882	Console	ConsoleEdit	list on my screen the content of MS_MT_TSD2020_pdf	na moim ekranie znajduje się zawartość MS_MT_TSD2020_pdf
4883	Console	ConsoleEdit	list on my screen the content of file P13_1059_pdf	wymień na moim ekranie zawartość pliku <a>P13_1059_pdf<a>
4884	Console	ConsoleEdit	list on my screen the content of names_esS	wylistuj na moim ekranie zawartość imion_esS
4885	Console	ConsoleEdit	list on my screen the content of files podaj_dalejS	wymień na moim ekranie zawartość plików podaj_dalejS
4886	Console	ConsoleEdit	list on my screen the content of the LPTC_1_2_Kurowski_Kwasek_zip	na moim ekranie znajduje się zawartość LPTC_1_2_Kurowski_Kwasek_zip
4887	Console	ConsoleEdit	list on my screen the content of the file github_recovery_codes_txt	wymień na moim ekranie zawartość pliku github_recovery_codes_txt
4888	Console	ConsoleEdit	list on my screen the content of the 1711_00513_pdfS	wylistuj na moim ekranie zawartość 1711_00513_pdfS
4889	Console	ConsoleEdit	emacs content_tgz	zawartość emacs_tgz
4890	Console	ConsoleEdit	emacs file nlu_corpora_8243bdf97493_json	emacs file nlu_corpora_8243bdf97493_json
4891	Console	ConsoleEdit	emacs files aspell5_pl_6_0_20061121_0_tar_bz2S	emacs files aspell5_pl_6_0_20061121_0_tar_bz2S
4892	Console	ConsoleEdit	emacs the fusionS	emacs fusionS
4893	Console	ConsoleEdit	emacs the files cut_the_sticks_pdfS	emacs pliki cut_the_sticks_pdfS
4894	Console	ConsoleEdit	gedit neural_networks_0_2_0_20171107_tgz	gedit neural_networks_0_2_0_20171107_tgz
4895	Console	ConsoleEdit	gedit secretagent_01_conrad_64kb_mp3S	gedit secretagent_01_conrad_64kb_mp3S
4896	Console	ConsoleEdit	get at filesiteontries in eats wits	ściągnij pliki w eats wits
4897	Console	ConsoleEdit	gedit the file Kupon_Rezerwacji_Rentalcars_com2_pdf	gedit the file Kupon_Rezerwacji_Rentalcars_com2_pdf
4898	Console	ConsoleEdit	gedit the files gala_data_txtS	gedit pliki gala_data_txtS
4899	Console	ConsoleEdit	vi NeMo	vi nemo
4900	Console	ConsoleEdit	vi file Screenshot_from_2020_10_13_12_12_41_png	vi file Screenshot_from_2020_10_13_12_12_41_png
4901	Console	ConsoleEdit	vi files gallery13_jpgS	vi files galery13_jpgS
4902	Console	ConsoleEdit	vi the Zotero_Report_htmlS	vi the zotero_Report_htmlS
4903	Console	ConsoleEdit	vi the files cut_the_sticks_pyS	vi pliki cut_the_sticks_pyS
4904	Console	ConsoleEdit	nano stanford_parser_full_2018_02_27	nano stanford_parser_full_2018_02_27
4905	Console	ConsoleEdit	nano file Załącznik_nr_5_do_US_nr_352_2019_pdf	nano plik Załącznik_nr_5_do_US_nr_352_2019_pdf
4906	Console	ConsoleEdit	nano ms_cntk_atis_zipS	nano ms_cntk_atis_zipS
4907	Console	ConsoleEdit	nano the elsarticle_template_pdf	nano the Elsarticle_template_pdf
4908	Console	ConsoleEdit	nano the file utt01_txt	nano plik utt01_txt
4909	Console	ConsoleEdit	nano the contentS	nano zawartośćS
4910	Console	ConsoleEdit	nano the files searchterms_txtS	nano pliki searchterms_txtS
4911	Console	ConsoleLS	show me files in the aws	pokaż pliki w aws
4912	Console	ConsoleLS	show me files in the path bin	pokaż jakie pliki są w bin
4913	Console	ConsoleLS	show me files in the directory JSGFTools3	pokaż jakie pliki są w katalogu JSGFTools3
4914	Console	ConsoleLS	show me old files in directory nameson	pokaż mi stare pliki w katalogu nameson
4915	Console	ConsoleLS	show me all files in the leyzer	pokaż jakie pliki są w leyzer
4916	Console	ConsoleLS	show me all files in the directory oos_eval	pokaż jakie pliki są w katalogu oos_eval
4917	Console	ConsoleLS	list files in the google_api_nodejs_client	wymień pliki w google_api_nodejs_client
4918	Console	ConsoleLS	list files in the path android_studio	wymień pliki w katalogu android_studio
4919	Console	ConsoleLS	list files in the directory stanford_parser_full_2018_02_27	wymień pliki w katalogu stanford_parser_full_2018_02_27
4920	Console	ConsoleLS	list all files in path gasr	wylistuj wszystkie pliki w katalogu gasr
4921	Console	ConsoleLS	list all files in the awesome_torch	wylistuj wszystkie pliki w awesome_torch
4922	Console	ConsoleLS	list all files in the path sequential	wylistuj wszystkie pliki w sekwencji
4923	Console	ConsoleLS	display files in the 2019	wyświetl pliki w 2019 roku
4924	Console	ConsoleLS	display files in the path LinuxProgramming202	pokaż pliki w katalogu LinuxProgramming202
4925	Console	ConsoleLS	display all files in questplusplus	pokaż pliki w questplus
4926	Console	ConsoleLS	display all files in directory names.es	pokaż pliki w katalogu names.es
4927	Console	ConsoleLS	display all files in the write_a_strace_and_gdb	pokaż pliki w write_a_strace_and_gdb
4928	Console	ConsoleLS	display all files in the directory 2005	pokaż pliki w katalogu 2005
4929	Console	ConsoleLS	enumerate files in the directory scrapy	wymień pliki w katalogu scrapy
4930	Console	ConsoleLS	enumerate the files in path share	wymień pliki w dzieleniu ścieżki
4931	Console	ConsoleLS	enumerate the files in directory 2013	wymień pliki w katalogu 2013
4932	Console	ConsoleLS	enumerate the files in the spotify_master	wymień pliki w spotify_master
4933	Console	ConsoleLS	enumerate the files in the directory ola	wymień pliki w katalogu ola
4934	Console	ConsoleLS	enumerate for me files in path Alchemia	wymień dla mnie pliki w katalogu Alchemia
4935	Console	ConsoleLS	enumerate for me files in the 2	wymień dla mnie pliki w 2
4936	Console	ConsoleLS	enumerate for me files in the path projects	wymień dla mnie pliki w projektach ścieżki
4937	Console	ConsoleLS	enumerate for me files in the directory JNN	wymień dla mnie pliki w katalogu <a>JNN<a>
4938	Console	ConsoleLS	enumerate for me the files in the path millenium_problemy	wymień dla mnie pliki w millenium_problemy
4939	Console	ConsoleLS	enumerate for me the files in the directory flask_messenger	wymień dla mnie pliki w katalogu flask_messenger
4940	Console	ConsoleLS	read list of files in the ssl	odczytaj jakie pliki są w ssl
4941	Console	ConsoleLS	read list of files in the path unimobile	odczytaj jakie pliki są w unimobile
4942	Console	ConsoleLS	read list of files in the directory anaconda3	odczytaj jakie pliki są w anaconda3
4943	Console	ConsoleLS	read the list of files in path R	odczytaj jakie pliki są w <a>r<a>
4944	Console	ConsoleLS	read the list of files in directory sentence2vec	odczytaj jakie pliki są w sentence2vec
4945	Console	ConsoleLS	read the list of files in the sources	odczytaj jakie pliki są w źródłach
4946	Console	ConsoleLS	read the list of files in the path awesome_deep_learning_papers	odczytaj jakie pliki są w katalogu awesome_deep_learning_papers
4947	Console	ConsoleLS	what kind of files will i find in 1996	jakie pliki znajdę w 1996 roku
4948	Console	ConsoleLS	which files will i find in NeMo	jakie pliki znajdę w NeMo
4949	Console	ConsoleLS	print the content of NLU_Evaluation_Data	wydrukować zawartość programu <a>NLU_Evaluation_Data<a>
4950	Console	ConsoleLS	print on my screen content of curriculum	wydrukować na moim ekranie zawartość curriculum
4951	Console	ConsoleLS	print on my screen the content of seminarium_samsung_20210115	drukuj na moim ekranie zawartość seminarium_samsung_20210115
4952	Console	ConsoleLS	create a list of files from the path img.es	stwórz listę plików w img.es
4953	Console	ConsoleLS	create a file list from path contacts_spotify	stwórz listę plików w kontaktach_spotify
4954	Console	ConsoleLS	create a file list from directory Frames_dataset	stwórz listę plików w katalogu Frames_dataset
