id	domain	intent	src	src_bio	src_xml	translated-tgt_xml	translated-tgt_plain_post	eval_text_translation	eval_slot_translation
7248	Gdrive	CreateFileWithName	create a new file in google drive named readme	o o o o o o o o b-file_name	create a new file in google drive named <a>readme<a>	stwórz nowy plik w google drive o nazwie <a>readme<a>	stwórz nowy plik w google drive o nazwie readme	1	1
7273	Gdrive	CreateFileWithName	send content of a file mieszkanko i've made to google drive	o o o o o b-file_name o o o o o	send content of a file <a>mieszkanko<a> i've made to google drive	edytuj plik <a>mieszkanko<a> i prześlij go na google drive	edytuj plik mieszkanko i prześlij go na google drive	1	1
7267	Gdrive	CreateFileWithName	coin a file in google drive named reinforcement	o o o o o o o b-file_name	coin a file in google drive named <a>reinforcement<a>	coin plik w google drive o nazwie <a>reinforcement<a>	coin plik w google drive o nazwie reinforcement	0	1
7277	Gdrive	CreateFileWithName	send content of a new file metrics i've made to google drive	o o o o o o b-file_name o o o o o	send content of a new file <a>metrics<a> i've made to google drive	edytuj plik <a>metrics<a> i prześlij go na google drive	edytuj plik metrics i prześlij go na google drive	1	1
7253	Gdrive	CreateFileWithName	create a new file in google drive named qe	o o o o o o o o b-file_name	create a new file in google drive named <a>qe<a>	stwórz nowy plik w google drive o nazwie <a>qe<a>	stwórz nowy plik w google drive o nazwie qe	1	1
7272	Gdrive	CreateFileWithName	send content of a file converted to google drive	o o o o o b-file_name o o o	send content of a file <a>converted<a> to google drive	edytuj plik i prześlij go na google drive	edytuj plik i prześlij go na google drive	1	1
7251	Gdrive	CreateFileWithName	create a file in google drive named zad 2	o o o o o o o b-file_name i-file_name	create a file in google drive named <a>zad 2<a>	stwórz plik w google drive o nazwie <a>zad 2<a>	stwórz plik w google drive o nazwie zad 2	1	1
9667	Spotify	CreatePlaylist	create a playlist	o o o	create a playlist	stwórz playlistę	stwórz playlistę	1	1
9683	Spotify	CreatePlaylist	save a music playlist	o o o o	save a music playlist	zapisz playlistę	zapisz playlistę	1	1
9680	Spotify	CreatePlaylist	add a new music list	o o o o o	add a new music list	dodaj nową playlistę	dodaj nową playlistę	0	1
9679	Spotify	CreatePlaylist	add a music list	o o o o	add a music list	dodaj playlistę	dodaj playlistę	0	1
9669	Spotify	CreatePlaylist	create a new list	o o o o	create a new list	utwórz nową listę	utwórz nową listę	1	1
9670	Spotify	CreatePlaylist	make new music playlist	o o o o	make new music playlist	zrób nową playlistę	zrób nową playlistę	0	1
9668	Spotify	CreatePlaylist	create a new playlist	o o o o	create a new playlist	utwórz nową playlistę	utwórz nową playlistę	1	1
9675	Spotify	CreatePlaylist	make a new music list	o o o o o	make a new music list	utwórz nową playlistę	utwórz nową playlistę	0	1
9677	Spotify	CreatePlaylist	add new music list	o o o o	add new music list	dodaj nową playlistę	dodaj nową playlistę	0	1
9685	Spotify	CreatePlaylist	new music list	o o o	new music list	nowa muzyka	nowa muzyka	0	1
9630	Spotify	CreatePlaylistWithName	add a playlist titled morning glory	o o o o b-playlist i-playlist	add a playlist titled <a>morning glory<a>	1	dodaj playlistę morning glory	1	1
9648	Spotify	CreatePlaylistWithName	save playlist titled blind channel	o o o b-playlist i-playlist	save playlist titled <a>blind channel<a>	1	zapisz playlistę blind channel	1	1
9646	Spotify	CreatePlaylistWithName	save playlist named fake smile	o o o b-playlist i-playlist	save playlist named <a>fake smile<a>	1	zapisz playlistę fake smile	1	1
9613	Spotify	CreatePlaylistWithName	make a new playlist named juice wrld unreleased leaks	o o o o o b-playlist i-playlist i-playlist i-playlist	make a new playlist named <a>juice wrld unreleased leaks<a>	1	zrób nową playlistę o tytule juice wrld unreleased leaks	1	1
9650	Spotify	CreatePlaylistWithName	save new playlist named cheese cake	o o o o b-playlist i-playlist	save new playlist named <a>cheese cake<a>	zapisz nową playlistę <a>cheese cake<a>	zapisz nową playlistę cheese cake	1	1
9625	Spotify	CreatePlaylistWithName	make a playlist titled channeling my inner kat stratford	o o o o b-playlist i-playlist i-playlist i-playlist i-playlist	make a playlist titled <a>channeling my inner kat stratford<a>	zrób listę odtwarzania <a>channeling my inner kat stratford<a>	zrób listę odtwarzania channeling my inner kat stratford	1	1
9608	Spotify	CreatePlaylistWithName	create new playlist titled conversations with god	o o o o b-playlist i-playlist i-playlist	create new playlist titled <a>conversations with god<a>	stwórz nową playlistę <a>conversations with god<a>	stwórz nową playlistę conversations with god	1	1
9631	Spotify	CreatePlaylistWithName	add a new playlist named brave new world	o o o o o b-playlist i-playlist i-playlist	add a new playlist named <a>brave new world<a>	dodaj nową playlistę <a>brave new world<a>	dodaj nową playlistę brave new world	1	1
9617	Spotify	CreatePlaylistWithName	make playlist titled city boy summer	o o o b-playlist i-playlist i-playlist	make playlist titled <a>city boy summer<a>	zrób playlistę <a>city boy summer<a>	zrób playlistę city boy summer	1	1
9618	Spotify	CreatePlaylistWithName	make playless title daity's power ballads	o o o b-playlist i-playlist i-playlist	make playless title <a>daity's power ballads<a>	zrób odtwarzany tytuł <a>daity's power ballads<a>	zrób odtwarzany tytuł daity's power ballads	0	1
8805	Speaker	DecreaseVolume	bring my speaker 's volume down	o o o o o o	bring my speaker 's volume down	zmniejsz głośność	zmniejsz głośność	0	1
8824	Speaker	DecreaseVolume	it is too loud in here	o o o o o o	it is too loud in here	jest tu za głośno	jest tu za głośno	1	1
8795	Speaker	DecreaseVolume	volume down on my speaker	o o o o o	volume down on my speaker	zmniejsz głośność na moim głośniku	zmniejsz głośność na moim głośniku	1	1
8820	Speaker	DecreaseVolume	cut down the volume	o o o o	cut down the volume	wylacz głośność	wylacz głośność	0	1
8803	Speaker	DecreaseVolume	decrease music volume	o o o	decrease music volume	zmniejsz głośność głośnika	zmniejsz głośność głośnika	0	1
8814	Speaker	DecreaseVolume	reduce the volume of my speaker	o o o o o o	reduce the volume of my speaker	zredukuj głośność mojego głośnika	zredukuj głośność mojego głośnika	1	1
8802	Speaker	DecreaseVolume	decrease volume	o o	decrease volume	zmniejsz głośność	zmniejsz głośność	1	1
8812	Speaker	DecreaseVolume	lower the volume	o o o	lower the volume	scisz głośność	scisz głośność	1	1
8804	Speaker	DecreaseVolume	bring the volume of speaker down	o o o o o o	bring the volume of speaker down	zmniejsz głośność	zmniejsz głośność	0	1
8801	Speaker	DecreaseVolume	decrease my speaker 's volume	o o o o o	decrease my speaker 's volume	zmniejsz odrobinę głośność mojego głośnika	zmniejsz odrobinę głośność mojego głośnika	0	1
8779	Speaker	DecreaseVolumeByPercent	lower the volume of my speaker by 64	o o o o o o o b-percent	lower the volume of my speaker by <a>64<a>	zmniejsz głośność o <a>64<a> procent	zmniejsz głośność o 64 procent	0	1
8753	Speaker	DecreaseVolumeByPercent	bring my speaker 's volume down by 62	o o o o o o o b-percent	bring my speaker 's volume down by <a>62<a>	zmniejsz głośność o <a>62<a> procent	zmniejsz głośność o 62 procent	0	1
8775	Speaker	DecreaseVolumeByPercent	make speaker 's volume quieter by 93	o o o o o o b-percent	make speaker 's volume quieter by <a>93<a>	zrób odrobinę ciszej o <a>93<a>	zrób odrobinę ciszej o 93	0	1
8783	Speaker	DecreaseVolumeByPercent	cut down the volume of my speaker by 48	o o o o o o o o b-percent	cut down the volume of my speaker by <a>48<a>	skręć głośność o <a>48<a> procent	skręć głośność o 48 procent	0	1
8778	Speaker	DecreaseVolumeByPercent	lower volume of speaker by 55	o o o o o b-percent	lower volume of speaker by <a>55<a>	skręć głośność o <a>55<a>	skręć głośność o 55	1	1
8784	Speaker	DecreaseVolumeByPercent	cut down my speaker 's volume by 57	o o o o o o o b-percent	cut down my speaker 's volume by <a>57<a>	skręć głośność o <a>57<a> procent	skręć głośność o 57 procent	0	1
8792	Speaker	DecreaseVolumeByPercent	74 less and volume would be perfect	b-percent o o o o o o	<a>74<a> less and volume would be perfect	<a>74<a> mniej i głośność byłaby doskonała	74 mniej i głośność byłaby doskonała	1	1
8744	Speaker	DecreaseVolumeByPercent	turn down the volume more	o o o o o	turn down the volume more	zmniejsz głośność	zmniejsz głośność	0	1
8748	Speaker	DecreaseVolumeByPercent	decrease the volume of speaker by 45	o o o o o o b-percent	decrease the volume of speaker by <a>45<a>	zmniejsz głośność o <a>45<a>	zmniejsz głośność o 45	1	1
8760	Speaker	DecreaseVolumeByPercent	reduce the volume of my speaker down by 80	o o o o o o o o b-percent	reduce the volume of my speaker down by <a>80<a>	zmniejsz głośność o <a>80<a> procent	zmniejsz głośność o 80 procent	0	1
10079	Translate	DetectLanguage	tell me what language jeszcze jedną kolejkę proszę	o o o o b-text_multi i-text_multi i-text_multi i-text_multi	tell me what language <a>jeszcze jedną kolejkę proszę<a>	w jakim języku jest <a>jeszcze jedna kolejkę proszę<a>	w jakim języku jest jeszcze jedna kolejkę proszę	1	1
10071	Translate	DetectLanguage	predict what language je ne suis pas intéressé	o o o b-text_multi i-text_multi i-text_multi i-text_multi i-text_multi	predict what language <a>je ne suis pas intéressé<a>	prognoza języka <a>je ne suis pas interesé<a>	prognoza języka je ne suis pas interesé	0	1
10077	Translate	DetectLanguage	get what language agua is written in	o o o b-text_multi o o o	get what language <a>agua<a> is written in	znajdź w jakim języku jest napis <a>agua<a>	znajdź w jakim języku jest napis agua	1	1
10073	Translate	DetectLanguage	get the language of febbraio	o o o o b-text_multi	get the language of <a>febbraio<a>	podaj język <a>lutego<a>	podaj język lutego	0	0
10087	Translate	DetectLanguage	what language is sentence por favor in	o o o o b-text_multi i-text_multi o	what language is sentence <a>por favor<a> in	w jakim języku jest słowo <a>proszę<a>	w jakim języku jest słowo proszę	0	0
10081	Translate	DetectLanguage	determine the language of dopo domani	o o o o b-text_multi i-text_multi	determine the language of <a>dopo domani<a>	określenie języka <a>dopo domani<a>	określenie języka dopo domani	0	1
10075	Translate	DetectLanguage	at was language met ro	o o o o o	at was language met ro	w języku met ro	w języku met ro	0	1
10082	Translate	DetectLanguage	determine the language of necesito una navaja de afeitar is written in	o o o o b-text_multi i-text_multi i-text_multi i-text_multi i-text_multi o o o	determine the language of <a>necesito una navaja de afeitar<a> is written in	określenie języka <a>necesito una navaja de afeitar<a> jest napisane w	określenie języka necesito una navaja de afeitar jest napisane w	0	1
10074	Translate	DetectLanguage	get the language of come sta is written in	o o o o b-text_multi i-text_multi o o o	get the language of <a>come sta<a> is written in	włącz język <a>come sta<a> jest napisan w	włącz język come sta jest napisan w	0	1
10078	Translate	DetectLanguage	tell me the language of eine zahnbürste	o o o o o b-text_multi i-text_multi	tell me the language of <a>eine zahnbürste<a>	podaj język <a>eine zahnbürste<a>	podaj język eine zahnbürste	1	1
15350	Wikipedia	DownloadAsPdf	get that page as a pdf file	o o o o o o o	get that page as a pdf file	weź tę stronę jako pdf	weź tę stronę jako pdf	1	1
15325	Wikipedia	DownloadAsPdf	save that page as a pdf file	o o o o o o o	save that page as a pdf file	zachowaj tę stronę jako pdf	zachowaj tę stronę jako pdf	1	1
15308	Wikipedia	DownloadAsPdf	download that page as a pdf	o o o o o o	download that page as a pdf	ściągnij tę stronę jako pdf	ściągnij tę stronę jako pdf	1	1
15313	Wikipedia	DownloadAsPdf	save article as a pdf	o o o o o	save article as a pdf	zapisz ten artykuł jako pdf	zapisz ten artykuł jako pdf	1	1
15330	Wikipedia	DownloadAsPdf	keep article as a pdf	o o o o o	keep article as a pdf	zachowaj ten artykuł jako pdf	zachowaj ten artykuł jako pdf	1	1
15342	Wikipedia	DownloadAsPdf	get this page as pdf	o o o o o	get this page as pdf	weź tę stronę jako pdf	weź tę stronę jako pdf	1	1
15306	Wikipedia	DownloadAsPdf	download this article as a pdf file	o o o o o o o	download this article as a pdf file	pobierz ten artykuł jako pdf	pobierz ten artykuł jako pdf	1	1
15322	Wikipedia	DownloadAsPdf	save that page as pdf file	o o o o o o	save that page as pdf file	zachowaj tę stronę jako pdf	zachowaj tę stronę jako pdf	1	1
15326	Wikipedia	DownloadAsPdf	save that article as pdf file	o o o o o o	save that article as pdf file	zachowaj ten artykuł jako pdf	zachowaj ten artykuł jako pdf	1	1
15305	Wikipedia	DownloadAsPdf	download this article as a pdf	o o o o o o	download this article as a pdf	ściągnij ten artykuł jako pdf	ściągnij ten artykuł jako pdf	1	1
5223	Contacts	EditContactWithName	edit my contact julianne niewieroski	o o o b-name i-name	edit my contact <a>julianne niewieroski<a>	edytuj mój kontakt <a>julianne niewieroski<a>	edytuj mój kontakt julianne niewieroski	1	1
5296	Contacts	EditContactWithName	do some changes to contact osbert	o o o o o b-name	do some changes to contact <a>osbert<a>	zrób jakieś zmiany aby połączyć się z <a>osbertem<a>	zrób jakieś zmiany aby połączyć się z osbertem	0	1
5273	Contacts	EditContactWithName	correct my contact rob haddix	o o o b-name i-name	correct my contact <a>rob haddix<a>	naprawij mój kontakt <a>rob haddix<a>	naprawij mój kontakt rob haddix	0	1
5270	Contacts	EditContactWithName	correct my contact aviva	o o o b-name	correct my contact <a>aviva<a>	popraw mój kontakt <a>aviva<a>	popraw mój kontakt aviva	1	1
5293	Contacts	EditContactWithName	do some changes to contact cuthbert fuger	o o o o o b-name i-name	do some changes to contact <a>cuthbert fuger<a>	zrób jakieś zmiany aby skontaktować się z <a>cuthbert fuger<a>	zrób jakieś zmiany aby skontaktować się z cuthbert fuger	0	1
5218	Contacts	EditContactWithName	ed it my contact mo hammer ground	o o o o o o o 	ed it my contact mo hammer ground	edytuj mój kontakt mo hammer ground	edytuj mój kontakt mo hammer ground	1	1
5288	Contacts	EditContactWithName	open the contact dwight and edit	o o o b-name o o	open the contact <a>dwight<a> and edit	otwórz kontakt <a>dwight<a> do edycji	otwórz kontakt dwight do edycji	1	1
5262	Contacts	EditContactWithName	correct contact alanna ocon	o o b-name i-name	correct contact <a>alanna ocon<a>	poprawny kontakt <a>alanna ocon<a>	poprawny kontakt alanna ocon	0	1
5295	Contacts	EditContactWithName	do some changes to contact jana	o o o o o b-name	do some changes to contact <a>jana<a>	zrób jakieś zmiany aby skontaktować się z <a>jana<a>	zrób jakieś zmiany aby skontaktować się z jana	0	1
5280	Contacts	EditContactWithName	open the contact rhiannon boe and edit	o o o b-name i-name o o	open the contact <a>rhiannon boe<a> and edit	otwórz kontakt <a>rhiannon boe<a> żeby go edytować	otwórz kontakt rhiannon boe żeby go edytować	1	1
5336	Contacts	EditContactWithNumber	update the name of my contact with the phone number 236 4849	o o o o o o o o o o b-phone_number i-phone_number	update the name of my contact with the phone number <a>236 4849<a>	aktualizuj nazwę mojego kontaktu o numerze telefonu <a>236 4849<a>	aktualizuj nazwę mojego kontaktu o numerze telefonu 236 4849	1	1
5397	Contacts	EditContactWithNumber	i made a mistake and +61 04 5750 1268 is somebody different	o o o o o b-phone_number i-phone_number i-phone_number i-phone_number o o o	i made a mistake and <a>+61 04 5750 1268<a> is somebody different	popełniłem błąd i <a>+61 04 5750 1268<a> jest inny	popełniłem błąd i +61 04 5750 1268 jest inny	0	1
5352	Contacts	EditContactWithNumber	update contact with the phone number 011 48 858 978	o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number	update contact with the phone number <a>011 48 858 978<a>	aktualizuj nazwę kontaktu z numerem telefonu <a>011 48 858 978<a>	aktualizuj nazwę kontaktu z numerem telefonu 011 48 858 978	1	1
5401	Contacts	EditContactWithNumber	i made a mistake and 357 3184 is different person	o o o o o b-phone_number i-phone_number o o o	i made a mistake and <a>357 3184<a> is different person	popełniłem błąd i <a>357 3184<a> to inna osoba	popełniłem błąd i 357 3184 to inna osoba	1	1
5347	Contacts	EditContactWithNumber	update contact with the number +61 08 4009 6299	o o o o o b-phone_number i-phone_number i-phone_number i-phone_number	update contact with the number <a>+61 08 4009 6299<a>	aktualizuj nazwę kontaktu z numerem telefonu <a>+61 08 4009 6299<a>	aktualizuj nazwę kontaktu z numerem telefonu +61 08 4009 6299	1	1
5320	Contacts	EditContactWithNumber	change the name of my contact with the phone number 763 9637	o o o o o o o o o o b-phone_number i-phone_number	change the name of my contact with the phone number <a>763 9637<a>	zmień nazwę mojego kontaktu o numerze telefonu <a>763 9637<a>	zmień nazwę mojego kontaktu o numerze telefonu 763 9637	1	1
5331	Contacts	EditContactWithNumber	change contact with the number 152 8312	o o o o o b-phone_number i-phone_number	change contact with the number <a>152 8312<a>	zmień nazwę kontaktu o numerze <a>152 8312<a>	zmień nazwę kontaktu o numerze 152 8312	1	1
5364	Contacts	EditContactWithNumber	modify contact with the number 011 48 327 615	o o o o o b-phone_number i-phone_number i-phone_number i-phone_number	modify contact with the number <a>011 48 327 615<a>	modyfikuj nazwę kontaktu o numerze telefonu <a>011 48 327 615<a>	modyfikuj nazwę kontaktu o numerze telefonu 011 48 327 615	1	1
5303	Contacts	EditContactWithNumber	edit the name of the contact with the number 735 8707	o o o o o o o o o b-phone_number i-phone_number	edit the name of the contact with the number <a>735 8707<a>	edytuj nazwę kontaktu z numerem telefonu <a>735 8707<a>	edytuj nazwę kontaktu z numerem telefonu 735 8707	1	1
5354	Contacts	EditContactWithNumber	modify the name of my contact with the phone number 723 5476	o o o o o o o o o o b-phone_number i-phone_number	modify the name of my contact with the phone number <a>723 5476<a>	modyfikuj nazwę mojego kontaktu o numerze telefonu <a>723 5476<a>	modyfikuj nazwę mojego kontaktu o numerze telefonu 723 5476	1	1
5528	Contacts	EditNumberInContactWithName	modify the number of the contact called mitchell raes	o o o o o o o b-name i-name	modify the number of the contact called <a>mitchell raes<a>	modyfikuj numer kontaktu o nazwie <a>mitchell raes<a>	modyfikuj numer kontaktu o nazwie mitchell raes	1	1
5483	Contacts	EditNumberInContactWithName	edit the number of the contact named timmy jakubczak	o o o o o o o b-name i-name	edit the number of the contact named <a>timmy jakubczak<a>	edytuj numer kontaktu o nazwie <a>timmy jakubczak<a>	edytuj numer kontaktu o nazwie timmy jakubczak	1	1
5550	Contacts	EditNumberInContactWithName	carry topolewski has a different number now	b-name i-name o o o o o	<a>carry topolewski<a> has a different number now	<a>carry topolewski<a> ma teraz inny numer	carry topolewski ma teraz inny numer	1	1
5503	Contacts	EditNumberInContactWithName	update number of the contact called kenneth litza	o o o o o o b-name i-name	update number of the contact called <a>kenneth litza<a>	aktualizuj numer kontaktu który nazywa się <a>kenneth litza<a>	aktualizuj numer kontaktu który nazywa się kenneth litza	1	1
5527	Contacts	EditNumberInContactWithName	modify the number of my contact named megan	o o o o o o o b-name	modify the number of my contact named <a>megan<a>	modyfikuj numer mojego kontaktu o nazwie <a>megan<a>	modyfikuj numer mojego kontaktu o nazwie megan	1	1
5506	Contacts	EditNumberInContactWithName	update the number of my contact called bobby	o o o o o o o b-name	update the number of my contact called <a>bobby<a>	aktualizuj numer mojego kontaktu o nazwie <a>bobby<a>	aktualizuj numer mojego kontaktu o nazwie bobby	1	1
5537	Contacts	EditNumberInContactWithName	correct number of the contact named wilman abjec	o o o o o o b-name i-name	correct number of the contact named <a>wilman abjec<a>	poprawny numer kontaktu o nazwie <a>wilman abjec<a>	poprawny numer kontaktu o nazwie wilman abjec	1	1
5498	Contacts	EditNumberInContactWithName	change the number of the contact named urith	o o o o o o o b-name	change the number of the contact named <a>urith<a>	zmień numer telefonu kontaktu o nazwie <a>urith<a>	zmień numer telefonu kontaktu o nazwie urith	1	1
5482	Contacts	EditNumberInContactWithName	edit the number of the contact called nicolas	o o o o o o o b-name	edit the number of the contact called <a>nicolas<a>	edytuj numer kontaktu który nazywa się <a>nicolas<a>	edytuj numer kontaktu który nazywa się nicolas	1	1
5494	Contacts	EditNumberInContactWithName	change the number of my contact named jermaine awkward	o o o o o o o b-name i-name	change the number of my contact named <a>jermaine awkward<a>	zmień numer mojego kontaktu o nazwie <a>jermaine awkward<a>	zmień numer mojego kontaktu o nazwie jermaine awkward	1	1
5412	Contacts	EditNumberInContactWithNameToNumberAndToType	edit the number +61 03 2433 1968 for oscar ovit as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-name i-name o b-phone_type	edit the number <c>+61 03 2433 1968<c> for <a>oscar ovit<a> as <b>work<b>	edytuj numer <b>pracowy<b> <c>oscar ovit<c> na <a>+61 03 2433 1968<a>	edytuj numer pracowy oscar ovit na +61 03 2433 1968	1	0
5453	Contacts	EditNumberInContactWithNameToNumberAndToType	correct the phone number 229 671 6979 for evelyn ladouceur as office	o o o o b-phone_number i-phone_number i-phone_number o b-name i-name o b-phone_type	correct the phone number <c>229 671 6979<c> for <a>evelyn ladouceur<a> as <b>office<b>	popraw numer <b>pracowy<b> <c>evelyn ladouceur<c> na <a>229 671 6979<a>	popraw numer pracowy evelyn ladouceur na 229 671 6979	1	0
5441	Contacts	EditNumberInContactWithNameToNumberAndToType	update the phone number +61 07 1447 4301 for the contact chris knuth as private	o o o o b-phone_number i-phone_number i-phone_number i-phone_number o o o b-name i-name o b-phone_type	update the phone number <c>+61 07 1447 4301<c> for the contact <a>chris knuth<a> as <b>private<b>	aktualizuj numer kontaktu <c>chris knuth<c> na <a>+61 07 1447 4301<a> o typie <b>pracowy<b>	aktualizuj numer kontaktu chris knuth na +61 07 1447 4301 o typie pracowy	0	0
5447	Contacts	EditNumberInContactWithNameToNumberAndToType	modify the number +61 02 3927 6050 for ana bemrich as work	o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-name i-name o b-phone_type	modify the number <c>+61 02 3927 6050<c> for <a>ana bemrich<a> as <b>work<b>	modyfikuj numer <b>pracowy<b> <c>ana bemrich<c> na <a>+61 02 3927 6050<a>	modyfikuj numer pracowy ana bemrich na +61 02 3927 6050	1	0
5463	Contacts	EditNumberInContactWithNameToNumberAndToType	chet swanay phone number +61 07 2768 2665 is in fact home	b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o o o b-phone_type	<a>chet swanay<a> phone number <c>+61 07 2768 2665<c> is in fact <b>home<b>	<c>chet swanay<c> +61 07 2768 2665<a> to faktycznie <b>domowy<b> numer	chet swanay +61 07 2768 2665 to faktycznie domowy numer	1	0
5444	Contacts	EditNumberInContactWithNameToNumberAndToType	modify the phone number 464 1286 for cari eury as private	o o o o b-phone_number i-phone_number o b-name i-name o b-phone_type	modify the phone number <c>464 1286<c> for <a>cari eury<a> as <b>private<b>	modyfikuj numer kontaktu <c>cari eury<c> na <a>464 1286<a> o typie <b>pracowy<b>	modyfikuj numer kontaktu cari eury na 464 1286 o typie pracowy	0	0
5428	Contacts	EditNumberInContactWithNameToNumberAndToType	change the phone number 011 48 125 675 for martina palmquist as home	o o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-name i-name o b-phone_type	change the phone number <c>011 48 125 675<c> for <a>martina palmquist<a> as <b>home<b>	zmień numer <b>domowy<b> <c>martina palmquist<c> na <a>011 48 125 675<a>	zmień numer domowy martina palmquist na 011 48 125 675	1	0
5449	Contacts	EditNumberInContactWithNameToNumberAndToType	modify the phone number 617 555 0108 for cary as work	o o o o b-phone_number i-phone_number i-phone_number o b-name o b-phone_type	modify the phone number <c>617 555 0108<c> for <a>cary<a> as <b>work<b>	modyfikuj numer <b>pracowy<b> <c>cary<c> na <a>617 555 0108<a>	modyfikuj numer pracowy cary na 617 555 0108	1	0
5416	Contacts	EditNumberInContactWithNameToNumberAndToType	change the number +61 08 6772 2455 for the contact charli as home	o o o b-phone_number i-phone_number i-phone_number i-phone_number o o o b-name o b-phone_type	change the number <c>+61 08 6772 2455<c> for the contact <a>charli<a> as <b>home<b>	zmień numer <b>domowy<b> <c>charli<c> na <a>+61 08 6772 2455<a>	zmień numer domowy charli na +61 08 6772 2455	1	0
5442	Contacts	EditNumberInContactWithNameToNumberAndToType	update the phone number 580 606 1831 for the contact frida silevinac as office	o o o o b-phone_number i-phone_number i-phone_number o o o b-name i-name o b-phone_type	update the phone number <c>580 606 1831<c> for the contact <a>frida silevinac<a> as <b>office<b>	aktualizuj numer kontaktu <c>frida silevinac<c> na <a>580 606 1831<a> o typie <b>pracowy<b>	aktualizuj numer kontaktu frida silevinac na 580 606 1831 o typie pracowy	1	0
16085	Youtube	FindChannelWithQuery	search for youtube channel play bone thugz n harmony	o o o o b-query i-query i-query i-query i-query	search for youtube channel <a>play bone thugz n harmony<a>	wyszukaj na kanale <a>play bone thugz n harmony<a>	wyszukaj na kanale play bone thugz n harmony	0	1
16095	Youtube	FindChannelWithQuery	list youtube channel pink	o o o b-query	list youtube channel <a>pink<a>	podaj listę kanałów na youtube <a>pink<a>	podaj listę kanałów na youtube pink	0	1
16090	Youtube	FindChannelWithQuery	play channels matching dragon ball fight on youtube	o o o b-query i-query i-query o o	play channels matching <a>dragon ball fight<a> on youtube	odtwórz kanały które pasuje do <a>harry potter<a> na youtube	odtwórz kanały które pasuje do harry potter na youtube	0	0
16099	Youtube	FindChannelWithQuery	look for youtube channel black sabboth 13 full album	o o o o b-query i-query i-query i-query i-query	look for youtube channel <a>black sabboth 13 full album<a>	poszukaj kanału <a>black sabboth 13 full album<a>	poszukaj kanału black sabboth 13 full album	1	1
16100	Youtube	FindChannelWithQuery	i want to see queen videos	o o o o b-query o	i want to see <a>queen<a> videos	chcę obejrzeć wideo <a>queen<a>	chcę obejrzeć wideo queen	1	1
16084	Youtube	FindChannelWithQuery	search for channels matching cats sneezing in boxes on youtube	o o o o b-query i-query i-query i-query o o	search for channels matching <a>cats sneezing in boxes<a> on youtube	wyszukaj kanały które pasuje do <a>defis argentyna<a> na youtube	wyszukaj kanały które pasuje do defis argentyna na youtube	0	0
16096	Youtube	FindChannelWithQuery	give me channels matching monster hunter world game play on youtube	o o o o b-query i-query i-query i-query i-query o o	give me channels matching <a>monster hunter world game play<a> on youtube	wyświetl mi kanały które pasuje do <a>monster hunter world game<a> na youtube	wyświetl mi kanały które pasuje do monster hunter world game na youtube	1	1
16089	Youtube	FindChannelWithQuery	show youtube channel michael jackson	o o o b-query i-query	show youtube channel <a>michael jackson<a>	pokaż mi kanał <a>michael jackson<a>	pokaż mi kanał michael jackson	1	1
16094	Youtube	FindChannelWithQuery	llist you to channel pink	o o o o o	llist you to channel pink	llistujesz na kanale różowy	llistujesz na kanale różowy	0	1
16098	Youtube	FindChannelWithQuery	look for channels matching magic school bus on youtube	o o o o b-query i-query i-query o o	look for channels matching <a>magic school bus<a> on youtube	wyszukaj kanały które pasuje do <a>kryminatorium<a> na youtube	wyszukaj kanały które pasuje do kryminatorium na youtube	0	0
16210	Youtube	FindQuery	find youtube video stuck in u bend	o o o b-query i-query i-query i-query	find youtube video <a>stuck in u bend<a>	znajdź wideo na kanale <a>stuck in u bend<a>	znajdź wideo na kanale stuck in u bend	1	1
16252	Youtube	FindQuery	show me youtube video love sosa	o o o o b-query i-query	show me youtube video <a>love sosa<a>	pokaż mi wideo na kanale <a>love sosa<a>	pokaż mi wideo na kanale love sosa	1	1
16207	Youtube	FindQuery	find avril lavigne radio video on youtube	o b-query i-query i-query o o o	find <a>avril lavigne radio<a> video on youtube	znajdź mi filmiki z kanału <a>avril lavigne radio<a>	znajdź mi filmiki z kanału avril lavigne radio	0	1
16254	Youtube	FindQuery	show me youtube video with pearl jam top hits	o o o o o b-query i-query i-query i-query	show me youtube video with <a>pearl jam top hits<a>	pokaż mi wideo na kanale <a>pearl jam top hits<a>	pokaż mi wideo na kanale pearl jam top hits	0	1
16222	Youtube	FindQuery	search for youtube video quick stretch breaststroke knee	o o o o b-query i-query i-query i-query	search for youtube video <a>quick stretch breaststroke knee<a>	wyszukaj mi wideo na kanale <a>quick stretch breaststroke knee<a>	wyszukaj mi wideo na kanale quick stretch breaststroke knee	0	1
16216	Youtube	FindQuery	search for a video with eminem on youtube	o o o o o b-query o o	search for a video with <a>eminem<a> on youtube	wyszukaj film z kanału <a>eminem<a> na youtube	wyszukaj film z kanału eminem na youtube	1	1
16220	Youtube	FindQuery	search for vegan video on youtube	o o b-query o o o	search for <a>vegan<a> video on youtube	wyszukaj wideo opublikowane <a>vegan<a> na youtube	wyszukaj wideo opublikowane vegan na youtube	1	1
